id,date,likes,comments,reposts,views
15082,2025-06-10 09:16:00,142,1,5,2371
15079,2025-06-09 16:16:00,391,0,6,5432
15078,2025-06-09 05:16:00,377,0,9,6197
15077,2025-06-08 19:16:00,332,0,8,5758
15074,2025-06-08 07:16:00,627,1,8,7206
15068,2025-06-07 17:16:00,521,0,11,7610
15066,2025-06-07 10:16:00,463,0,13,6798
15065,2025-06-06 21:16:00,817,1,27,9887
15062,2025-06-06 11:16:00,492,1,8,6701
15060,2025-06-05 18:16:00,629,1,20,8319
15053,2025-06-05 09:16:00,593,0,18,7383
15052,2025-06-04 23:16:00,535,2,16,7524
15050,2025-06-04 12:16:00,850,0,29,10530
15043,2025-06-03 17:16:00,829,2,27,10942
15041,2025-06-03 07:16:00,794,1,15,9909
15039,2025-06-02 20:16:00,547,0,9,7052
15038,2025-06-02 11:16:00,506,0,15,7307
15032,2025-06-01 19:16:00,355,1,11,6363
15031,2025-06-01 08:16:00,862,1,26,10477
15028,2025-05-31 18:16:00,720,0,28,9267
15026,2025-05-31 09:16:00,513,0,9,7228
15021,2025-05-30 18:16:00,683,0,13,8361
15020,2025-05-30 07:16:00,706,0,18,9424
15017,2025-05-29 17:16:00,874,0,13,11314
15015,2025-05-29 09:16:00,752,1,16,9132
15010,2025-05-28 21:16:00,343,0,9,5280
15007,2025-05-28 12:16:00,725,0,11,9508
15003,2025-05-27 20:16:00,195,0,11,2754
15001,2025-05-27 10:16:00,398,0,10,5790
14998,2025-05-26 18:16:00,514,0,17,7415
14996,2025-05-26 08:16:00,625,1,13,7653
14995,2025-05-25 20:16:00,502,2,14,7080
14993,2025-05-25 12:16:00,858,1,19,10334
14987,2025-05-24 16:16:00,481,0,12,7369
14986,2025-05-24 07:16:00,1041,0,25,12044
14984,2025-05-23 17:16:00,456,0,15,7023
14982,2025-05-23 08:16:00,552,0,13,7647
14980,2025-05-22 18:16:00,250,0,6,3784
14979,2025-05-22 09:16:00,214,0,10,2726
14978,2025-05-21 19:16:00,597,1,13,7787
14966,2025-05-21 11:16:00,918,3,15,11091
14964,2025-05-20 23:16:00,485,2,11,6558
14960,2025-05-20 05:16:00,551,0,11,7353
14958,2025-05-19 19:16:00,607,1,17,8175
14958,2025-05-19 19:16:00,607,1,17,8175
14957,2025-05-19 09:16:00,240,0,5,2863
14956,2025-05-18 20:16:00,788,0,26,10014
14954,2025-05-18 10:16:00,698,0,23,8940
14953,2025-05-17 18:16:00,368,1,15,6119
14950,2025-05-17 08:16:00,507,0,12,6960
14949,2025-05-16 21:16:00,836,0,17,9472
14948,2025-05-16 12:16:00,405,0,9,6088
14947,2025-05-15 16:16:00,312,0,11,4888
14944,2025-05-15 07:16:00,727,1,23,9357
14942,2025-05-14 17:16:00,577,0,14,7880
14938,2025-05-14 06:16:00,450,0,13,6226
14937,2025-05-13 19:16:00,324,0,5,5147
14936,2025-05-13 07:16:00,506,0,11,7503
14935,2025-05-12 22:16:00,512,0,15,7225
14933,2025-05-12 11:16:00,297,0,7,4858
14932,2025-05-11 18:16:00,774,0,30,9746
14931,2025-05-11 09:16:00,406,0,17,6082
14930,2025-05-10 20:16:00,315,1,7,4769
14909,2025-05-10 08:16:00,315,0,16,5279
14906,2025-05-09 17:16:00,540,1,21,7298
14905,2025-05-09 07:16:00,607,0,13,7085
14903,2025-05-08 22:16:00,431,1,11,6256
14900,2025-05-08 12:16:00,397,0,12,5827
14897,2025-05-07 21:16:00,625,0,12,8818
14894,2025-05-07 09:16:00,521,1,13,6917
14888,2025-05-06 19:16:00,627,1,18,8415
14887,2025-05-06 08:16:00,808,0,20,9724
14883,2025-05-05 20:16:00,443,0,12,5885
14882,2025-05-05 10:16:00,394,0,16,5943
14875,2025-05-04 17:16:00,267,0,9,3460
14874,2025-05-04 11:16:00,519,2,21,6752
14870,2025-05-03 18:16:00,554,1,16,7853
14863,2025-05-03 08:16:00,475,0,21,6109
14861,2025-05-02 16:16:00,621,0,46,11005
14851,2025-05-02 06:16:00,519,2,15,6854
14848,2025-05-01 23:16:00,411,0,18,6364
14846,2025-05-01 09:16:00,389,0,12,5656
14845,2025-05-01 00:16:00,408,1,8,6161
14844,2025-04-30 15:16:00,567,0,17,7589
14842,2025-04-29 22:16:00,240,0,4,4702
14839,2025-04-29 12:16:00,742,0,21,8655
14824,2025-04-28 21:16:00,500,8,16,6559
14823,2025-04-28 10:16:00,223,0,6,4052
14818,2025-04-27 19:16:00,757,1,15,8486
14817,2025-04-27 11:16:00,592,2,12,6879
14814,2025-04-26 20:16:00,577,2,9,6326
14811,2025-04-26 10:16:00,375,1,12,5587
14807,2025-04-25 18:16:00,449,0,6,5882
14806,2025-04-25 08:16:00,614,2,16,7147
14803,2025-04-24 17:16:00,690,1,16,7745
14800,2025-04-24 06:16:00,693,1,24,7851
14798,2025-04-23 08:16:00,641,0,13,8128
14790,2025-04-22 15:16:00,450,1,8,6199
14789,2025-04-22 05:16:00,685,2,21,8729
14784,2025-04-21 16:16:00,280,0,3,4856
14782,2025-04-21 07:16:00,496,0,6,6101
14780,2025-04-20 21:16:00,546,3,10,7202
14779,2025-04-20 11:16:00,622,0,16,8278
14777,2025-04-19 20:16:00,630,0,12,7362
14774,2025-04-19 09:16:00,628,1,14,7558
14765,2025-04-18 20:16:00,722,8,32,8948
14764,2025-04-18 10:16:00,439,0,7,6036
14760,2025-04-17 18:16:00,986,2,30,12529
14758,2025-04-17 08:16:00,598,0,18,7695
14752,2025-04-15 19:16:00,704,0,27,9231
14750,2025-04-15 11:16:00,519,1,22,7023
14746,2025-04-14 20:16:00,497,4,4,6903
14744,2025-04-14 12:16:00,503,0,11,6885
14743,2025-04-13 22:16:00,544,0,13,6796
14742,2025-04-13 14:16:00,469,0,12,6627
14734,2025-04-12 15:16:00,560,1,11,7654
14732,2025-04-12 05:16:00,638,2,16,7535
14731,2025-04-11 20:16:00,436,0,8,5979
14730,2025-04-11 10:16:00,673,0,20,8921
14726,2025-04-10 18:16:00,653,0,20,7629
14725,2025-04-10 07:16:00,452,0,14,6614
14715,2025-04-09 21:16:00,472,1,10,6029
14713,2025-04-09 09:16:00,429,0,7,6139
14710,2025-04-08 17:16:00,1128,2,46,12306
14707,2025-04-08 07:16:00,466,1,11,6668
14706,2025-04-07 20:16:00,559,2,17,6972
14699,2025-04-07 11:16:00,658,1,23,7646
14695,2025-04-06 19:16:00,490,0,14,6899
14694,2025-04-06 12:16:00,479,2,11,6572
14691,2025-04-05 21:16:00,575,0,12,8594
14690,2025-04-05 11:16:00,719,0,24,9106
14687,2025-04-04 18:16:00,346,1,4,5432
14685,2025-04-04 08:16:00,682,1,23,7734
14684,2025-04-03 20:16:00,870,1,22,10244
14683,2025-04-03 09:16:00,424,0,18,6840
14675,2025-04-02 19:16:00,465,0,12,6190
14666,2025-04-02 07:16:00,431,0,10,5975
14665,2025-04-01 17:16:00,354,0,15,6348
14664,2025-04-01 08:16:00,588,0,15,8076
14663,2025-03-31 21:16:00,696,0,28,10500
14658,2025-03-31 11:16:00,497,1,12,7181
14651,2025-03-30 18:16:00,573,0,18,6847
14647,2025-03-30 10:16:00,294,1,7,4714
14645,2025-03-29 20:16:00,919,2,33,11133
14643,2025-03-29 12:16:00,779,0,30,9646
14642,2025-03-28 17:16:00,392,0,4,6194
14638,2025-03-28 05:16:00,616,1,17,8059
14636,2025-03-27 19:16:00,597,1,15,7904
14634,2025-03-27 09:16:00,487,7,12,6117
14632,2025-03-26 20:16:00,382,0,4,6081
14619,2025-03-26 07:16:00,427,0,9,5707
14617,2025-03-25 19:16:00,640,2,12,8166
14613,2025-03-25 10:16:00,934,7,45,11693
14607,2025-03-23 15:16:00,507,1,11,6995
14606,2025-03-23 03:16:00,527,0,16,7266
14601,2025-03-22 16:16:00,509,1,21,7476
14598,2025-03-22 07:16:00,556,3,25,9084
14597,2025-03-21 18:16:00,505,0,10,7055
14596,2025-03-21 10:16:00,798,0,28,10719
14595,2025-03-20 21:16:00,461,1,13,6328
14594,2025-03-20 13:16:00,423,0,9,6280
14592,2025-03-19 23:16:00,548,1,9,8214
14582,2025-03-19 10:16:00,561,0,15,8404
14579,2025-03-18 18:16:00,557,2,13,7211
14578,2025-03-18 08:16:00,425,1,11,5406
14577,2025-03-17 19:16:00,594,0,14,8442
14576,2025-03-17 09:16:00,640,0,25,8199
14569,2025-03-16 20:16:00,525,0,11,6743
14568,2025-03-16 11:16:00,645,0,18,8640
14567,2025-03-15 18:16:00,566,0,22,8361
14566,2025-03-15 06:16:00,572,0,14,7695
14559,2025-03-14 20:16:00,425,1,12,5790
14557,2025-03-14 12:16:00,393,0,10,6376
14555,2025-03-13 23:16:00,177,0,8,3034
14551,2025-03-13 04:16:00,762,0,21,9568
14550,2025-03-12 16:16:00,457,0,22,6279
14549,2025-03-12 07:16:00,640,0,24,9836
14546,2025-03-11 21:16:00,344,2,8,3803
14541,2025-03-11 09:16:00,587,2,17,8004
14536,2025-03-10 17:16:00,727,4,29,8724
14533,2025-03-10 08:16:00,604,1,16,8296
14531,2025-03-09 20:16:00,834,2,18,11796
14526,2025-03-09 11:16:00,742,1,13,9926
14521,2025-03-08 19:16:00,672,0,15,8413
14520,2025-03-08 09:16:00,511,0,16,7719
14518,2025-03-07 18:16:00,510,0,11,7702
14517,2025-03-07 07:16:00,548,1,14,7353
14516,2025-03-06 15:16:00,671,2,16,9466
14515,2025-03-06 05:16:00,770,1,23,9551
14506,2025-03-05 18:16:00,519,0,19,7168
14504,2025-03-05 08:16:00,634,0,15,7937
14501,2025-03-04 23:16:00,885,0,22,10383
14499,2025-03-04 14:16:00,597,0,19,8357
14498,2025-03-03 21:16:00,1152,0,34,15350
14490,2025-03-03 10:16:00,1006,4,19,14068
14488,2025-03-02 20:16:00,1033,2,27,14966
14486,2025-03-02 12:16:00,795,2,21,11834
14474,2025-03-01 17:16:00,937,1,29,12565
14472,2025-03-01 08:16:00,635,1,13,10255
14471,2025-02-28 18:16:00,549,1,12,10063
14470,2025-02-28 10:16:00,685,0,18,10948
14469,2025-02-27 23:16:00,765,2,23,12015
14466,2025-02-27 12:16:00,570,0,14,8281
14458,2025-02-26 21:16:00,403,0,14,5963
14457,2025-02-26 11:16:00,484,0,16,6904
14454,2025-02-25 16:16:00,797,0,24,10948
14451,2025-02-25 06:16:00,542,3,18,7179
14449,2025-02-24 18:16:00,722,3,18,9893
14448,2025-02-24 08:16:00,434,0,8,6844
14446,2025-02-23 21:16:00,514,0,12,6327
14444,2025-02-23 12:16:00,1153,2,53,14656
14437,2025-02-22 17:16:00,386,1,12,6344
14433,2025-02-22 10:16:00,567,0,23,8094
14432,2025-02-21 19:16:00,523,0,13,7847
14429,2025-02-21 09:16:00,617,0,27,7867
14428,2025-02-20 18:16:00,761,1,23,9689
14420,2025-02-20 05:16:00,720,1,17,8215
14417,2025-02-19 15:16:00,760,0,30,9706
14414,2025-02-19 06:16:00,477,0,12,7438
14411,2025-02-18 17:16:00,502,0,9,6714
14410,2025-02-18 08:16:00,433,0,16,7432
14406,2025-02-17 20:16:00,559,0,14,7742
14402,2025-02-17 10:16:00,507,1,10,8171
14397,2025-02-16 23:16:00,657,0,15,9717
14394,2025-02-16 12:16:00,417,1,11,6887
14389,2025-02-15 16:16:00,647,4,19,8180
14388,2025-02-15 07:16:00,401,0,6,7923
14387,2025-02-14 18:16:00,1195,1,32,15311
14386,2025-02-14 09:16:00,913,0,27,14376
14383,2025-02-13 19:16:00,934,2,12,12253
14371,2025-02-12 22:16:00,1070,0,16,15736
14369,2025-02-12 12:16:00,1058,3,29,15888
14364,2025-02-11 19:16:00,260,0,8,4693
14361,2025-02-11 11:16:00,370,0,13,5087
14356,2025-02-10 20:16:00,750,0,17,10777
14354,2025-02-10 07:16:00,311,0,10,5510
14348,2025-02-09 19:16:00,340,1,6,6357
14345,2025-02-09 09:16:00,728,1,19,10525
14340,2025-02-08 17:16:00,767,2,13,10764
14332,2025-02-08 09:16:00,625,1,11,8771
14331,2025-02-07 21:16:00,926,1,29,10204
14327,2025-02-07 11:16:00,516,0,7,6739
14317,2025-02-06 20:16:00,779,0,21,9494
14315,2025-02-06 10:16:00,606,0,19,9040
14312,2025-02-05 16:16:00,464,0,13,7818
14308,2025-02-05 07:16:00,477,1,15,7101
14304,2025-02-04 18:16:00,746,2,23,9934
14303,2025-02-04 08:16:00,637,0,10,8760
14300,2025-02-03 19:16:00,367,0,11,6009
14299,2025-02-03 10:16:00,586,1,10,7655
14298,2025-02-02 21:16:00,764,0,19,12017
14293,2025-02-02 11:16:00,476,2,13,7612
14289,2025-02-01 18:16:00,380,2,19,6495
14286,2025-02-01 08:16:00,701,0,23,9849
14284,2025-01-31 20:16:00,521,3,10,8758
14281,2025-01-31 13:16:00,545,0,20,8916
14272,2025-01-30 19:16:00,234,0,6,4838
14270,2025-01-30 09:16:00,370,0,11,5768
14268,2025-01-29 21:16:00,455,0,10,5915
14267,2025-01-29 12:16:00,412,0,13,6883
14265,2025-01-28 20:16:00,363,0,13,7871
14263,2025-01-28 10:16:00,342,1,8,5366
14255,2025-01-27 18:16:00,512,0,12,6791
14254,2025-01-27 07:16:00,512,0,15,7717
14250,2025-01-26 19:16:00,489,0,11,7057
14247,2025-01-26 10:16:00,396,0,12,6836
14244,2025-01-25 18:16:00,320,0,9,5629
14241,2025-01-25 05:16:00,257,0,16,4615
14233,2025-01-24 16:16:00,363,0,16,7121
14231,2025-01-24 04:16:00,760,0,24,9979
14226,2025-01-23 20:16:00,508,1,11,7058
14224,2025-01-23 09:16:00,530,0,20,7131
14219,2025-01-22 17:16:00,359,0,10,5951
14216,2025-01-22 08:16:00,562,2,19,8044
14215,2025-01-21 18:16:00,796,0,33,10773
14212,2025-01-21 06:16:00,480,0,16,7167
14207,2025-01-20 14:16:00,1147,1,48,20088
14206,2025-01-20 04:16:00,380,0,12,6107
14198,2025-01-19 15:16:00,506,1,19,6778
14197,2025-01-19 07:16:00,359,0,7,5821
14196,2025-01-18 19:16:00,365,0,15,7425
14194,2025-01-18 09:16:00,559,1,17,6609
14193,2025-01-17 20:16:00,387,0,7,5312
14188,2025-01-17 11:16:00,502,0,18,7749
14187,2025-01-16 21:16:00,345,0,9,5251
14184,2025-01-16 08:16:00,738,2,13,9581
14183,2025-01-15 18:16:00,440,0,8,6114
14182,2025-01-15 10:16:00,357,0,15,5326
14175,2025-01-14 17:16:00,719,2,14,10257
14171,2025-01-14 07:16:00,304,0,10,3856
14168,2025-01-13 20:16:00,476,3,21,7026
14167,2025-01-13 12:16:00,771,0,24,11242
14166,2025-01-12 19:16:00,487,0,11,7818
14155,2025-01-12 08:16:00,476,1,12,7114
14149,2025-01-11 16:16:00,325,2,3,6874
14147,2025-01-11 06:16:00,574,0,18,8446
14142,2025-01-10 18:16:00,453,1,9,7133
14138,2025-01-10 10:16:00,433,1,9,5756
14132,2025-01-09 21:16:00,484,0,9,7324
14131,2025-01-09 11:16:00,472,0,9,6168
14128,2025-01-08 17:16:00,449,1,10,6844
14126,2025-01-08 09:16:00,501,0,14,7393
14118,2025-01-07 19:16:00,727,2,22,12305
14116,2025-01-07 08:16:00,220,0,6,4614
14115,2025-01-06 22:16:00,600,0,17,8929
14114,2025-01-06 12:16:00,549,0,8,7358
14113,2025-01-05 20:16:00,445,0,6,6782
14108,2025-01-05 09:16:00,1289,1,50,21779
14107,2025-01-04 17:16:00,632,0,13,8002
14106,2025-01-04 06:16:00,426,0,10,7253
14103,2025-01-03 16:16:00,339,1,5,5916
14102,2025-01-03 04:16:00,678,0,12,9127
14100,2025-01-02 18:16:00,804,1,21,11693
14098,2025-01-02 10:16:00,401,0,12,5983
14097,2025-01-01 22:16:00,458,0,7,7585
14094,2025-01-01 11:16:00,510,1,9,7341
14093,2024-12-31 21:16:00,349,0,8,8559
14075,2024-12-31 09:16:00,555,1,12,8769
14073,2024-12-30 19:16:00,379,0,12,5520
14071,2024-12-30 07:16:00,567,0,20,8274
14068,2024-12-29 20:16:00,631,0,15,8361
14067,2024-12-29 10:16:00,443,0,8,6456
14057,2024-12-28 19:16:00,574,1,18,9220
14056,2024-12-28 09:16:00,867,2,29,14220
14054,2024-12-27 20:16:00,798,1,22,10803
14053,2024-12-27 12:16:00,521,0,21,7662
14047,2024-12-26 16:16:00,476,0,13,6901
14045,2024-12-26 08:16:00,235,0,8,3897
14042,2024-12-25 18:16:00,1252,3,138,22327
14040,2024-12-25 06:16:00,647,0,14,10152
14034,2024-12-24 17:16:00,394,0,6,5514
14033,2024-12-24 07:16:00,806,0,28,10251
14032,2024-12-23 20:16:00,614,0,11,7473
14029,2024-12-23 11:16:00,332,1,6,5669
14028,2024-12-22 22:16:00,695,1,20,9123
14025,2024-12-22 12:16:00,424,0,10,5805
14023,2024-12-21 19:16:00,689,0,11,8282
14022,2024-12-21 10:16:00,396,0,11,6510
14013,2024-12-20 21:16:00,539,1,14,7555
14012,2024-12-20 09:16:00,524,0,15,7047
14011,2024-12-19 18:16:00,1299,0,36,18106
14010,2024-12-19 04:16:00,625,1,22,7965
13997,2024-12-18 16:16:00,370,1,8,5871
13995,2024-12-18 07:16:00,725,0,12,8020
13994,2024-12-17 17:16:00,540,0,18,6537
13991,2024-12-17 06:16:00,295,2,7,5548
13976,2024-12-16 19:16:00,833,4,32,10503
13974,2024-12-16 08:16:00,520,0,6,6812
13972,2024-12-15 21:16:00,417,0,6,6035
13968,2024-12-15 09:16:00,491,2,13,6900
13965,2024-12-14 20:16:00,1094,2,36,15371
13959,2024-12-14 10:16:00,456,1,9,6003
13956,2024-12-13 19:16:00,513,0,8,6889
13954,2024-12-13 07:16:00,543,0,11,6886
13952,2024-12-12 17:16:00,472,0,8,5805
13944,2024-12-12 08:16:00,335,0,2,4806
13939,2024-12-11 16:16:00,655,1,27,8153
13937,2024-12-11 06:16:00,978,0,42,12731
13931,2024-12-10 18:16:00,348,0,7,5452
13928,2024-12-10 10:16:00,255,2,7,4941
13924,2024-12-09 22:16:00,487,2,8,6518
13923,2024-12-09 12:16:00,521,1,11,6874
13921,2024-12-08 21:16:00,887,3,21,12876
13916,2024-12-08 09:16:00,741,4,26,9122
13913,2024-12-07 19:16:00,1053,0,37,18339
13910,2024-12-07 08:16:00,429,3,9,6869
13907,2024-12-06 16:16:00,734,2,24,9624
13906,2024-12-06 06:16:00,677,2,22,8637
13905,2024-12-05 20:16:00,515,0,6,6497
13900,2024-12-05 10:16:00,655,0,17,7259
13897,2024-12-04 18:16:00,581,2,10,7251
13895,2024-12-04 07:16:00,591,0,13,8391
13882,2024-12-03 17:16:00,490,0,8,7291
13878,2024-12-03 09:16:00,466,2,11,6413
13877,2024-12-02 21:16:00,639,1,16,8754
13873,2024-12-02 11:16:00,692,3,23,8153
13871,2024-12-01 19:16:00,752,0,20,10165
13869,2024-12-01 08:16:00,612,0,11,7851
13860,2024-11-30 15:16:35,89,0,7,3572
13858,2024-11-30 03:16:00,476,0,16,6361
13857,2024-11-29 16:16:00,482,0,11,6639
13854,2024-11-29 06:16:00,644,0,15,9109
13853,2024-11-28 18:16:00,276,0,4,4288
13850,2024-11-28 10:16:00,655,2,14,7900
13849,2024-11-27 22:16:00,803,0,30,10617
13846,2024-11-27 11:16:00,537,3,16,7003
13844,2024-11-26 17:16:00,272,2,6,4826
13833,2024-11-26 07:16:00,409,0,9,5244
13832,2024-11-25 20:16:00,322,0,5,4427
13831,2024-11-25 09:16:00,864,0,22,11116
13824,2024-11-24 19:16:00,410,0,4,5156
13822,2024-11-24 10:16:00,241,0,5,4133
13821,2024-11-23 23:16:00,515,1,8,8725
13820,2024-11-23 13:16:00,407,0,9,5442
13819,2024-11-22 18:16:00,453,0,10,6038
13817,2024-11-22 08:16:00,183,0,5,3352
13814,2024-11-21 20:16:00,590,0,10,6865
13811,2024-11-21 11:16:00,580,2,11,7650
13807,2024-11-20 15:16:00,376,1,7,5243
13805,2024-11-20 04:16:00,694,0,25,8600
13798,2024-11-19 17:16:00,179,1,1,3720
13795,2024-11-19 09:16:00,354,0,7,6623
13791,2024-11-18 21:16:00,1259,4,37,20615
13789,2024-11-18 12:16:00,386,1,6,5892
13785,2024-11-17 16:16:00,318,1,10,5842
13783,2024-11-17 08:16:00,614,3,19,8303
13780,2024-11-16 22:16:00,346,0,3,5181
13778,2024-11-16 10:16:00,395,0,9,5511
13776,2024-11-15 19:16:00,579,1,19,9553
13771,2024-11-15 09:16:00,566,0,8,7794
13764,2024-11-14 18:16:00,1706,15,137,25237
13763,2024-11-14 06:16:00,980,1,36,14930
13759,2024-11-13 17:16:00,577,1,15,6871
13756,2024-11-13 07:16:00,452,0,12,5615
13754,2024-11-12 19:16:00,755,1,19,9959
13747,2024-11-12 11:16:00,487,0,5,5848
13721,2024-11-12 00:16:00,433,1,9,5607
13720,2024-11-11 15:16:00,429,0,18,5891
13712,2024-11-10 20:16:00,408,0,5,5869
13710,2024-11-10 10:16:00,623,1,16,8166
13708,2024-11-09 22:16:00,417,0,10,6512
13704,2024-11-09 12:16:00,365,0,10,5681
13700,2024-11-08 21:16:00,532,3,14,6764
13694,2024-11-08 08:16:00,371,0,9,5580
13690,2024-11-07 18:16:00,245,0,5,4623
13688,2024-11-07 09:16:00,421,1,7,5866
13685,2024-11-06 23:16:00,536,1,15,7425
13681,2024-11-06 11:16:00,375,1,9,5726
13675,2024-11-05 20:16:00,561,1,13,7610
13669,2024-11-05 07:16:00,533,1,13,7576
13668,2024-11-04 16:16:00,540,1,15,6922
13666,2024-11-04 06:16:00,507,1,16,7539
13662,2024-11-03 17:16:00,303,0,4,4913
13646,2024-11-03 08:16:00,783,1,40,9677
13644,2024-11-02 19:16:00,395,0,7,6487
13636,2024-11-02 10:16:00,687,4,24,9255
13634,2024-11-01 18:16:00,371,0,5,5210
13626,2024-11-01 05:16:00,1650,11,98,24271
13623,2024-10-31 21:16:00,419,0,9,6793
13621,2024-10-31 09:16:00,449,1,6,6470
13618,2024-10-30 17:16:00,529,0,12,8106
13615,2024-10-30 07:16:00,251,0,6,4458
13611,2024-10-29 20:16:00,276,0,3,4347
13595,2024-10-29 11:16:00,312,0,5,5052
13589,2024-10-28 16:16:00,541,3,23,7758
13584,2024-10-28 06:16:00,456,1,18,6346
13582,2024-10-27 19:16:00,299,0,8,4963
13576,2024-10-27 08:16:00,524,0,18,6211
13575,2024-10-26 22:16:00,389,1,8,5679
13567,2024-10-26 12:16:00,287,2,6,4569
13562,2024-10-25 18:16:00,434,1,5,5973
13560,2024-10-25 10:16:00,604,0,16,8836
13557,2024-10-24 23:16:00,490,0,14,6460
13556,2024-10-24 09:16:00,453,0,9,6034
13555,2024-10-23 21:16:00,280,0,10,3954
13553,2024-10-23 11:16:00,539,1,11,8386
13548,2024-10-22 17:16:00,499,0,13,6234
13541,2024-10-22 07:16:00,606,0,13,7598
13522,2024-10-21 18:16:00,562,5,22,7171
13518,2024-10-21 10:16:00,476,5,20,6714
13513,2024-10-20 20:16:00,432,4,20,7671
13509,2024-10-20 08:16:00,370,0,12,5425
13508,2024-10-19 17:16:00,469,0,5,5886
13506,2024-10-19 09:16:00,454,1,13,5905
13503,2024-10-18 18:16:00,262,1,7,4796
13501,2024-10-18 04:16:00,453,0,13,6876
13499,2024-10-17 16:16:00,383,1,6,5458
13496,2024-10-17 05:16:00,530,3,11,6396
13495,2024-10-16 20:16:00,369,1,3,5339
13487,2024-10-16 08:16:00,475,0,16,6886
13486,2024-10-15 19:16:00,572,2,15,7312
13483,2024-10-15 11:16:00,302,0,9,4995
13480,2024-10-14 17:16:00,642,1,23,7547
13475,2024-10-14 09:16:00,606,5,17,8083
13464,2024-10-13 21:16:00,569,1,17,7813
13458,2024-10-13 12:16:00,756,1,23,9076
13454,2024-10-12 20:16:00,379,3,10,6427
13450,2024-10-12 10:16:00,539,0,17,7249
13447,2024-10-11 16:16:00,326,4,11,5936
13446,2024-10-11 06:16:00,632,1,18,7884
13441,2024-10-10 15:16:00,428,0,12,7099
13438,2024-10-10 03:16:00,325,1,11,5245
13437,2024-10-09 17:16:00,399,0,7,6256
13436,2024-10-09 09:16:00,579,0,13,8294
13434,2024-10-08 19:16:00,647,3,26,8387
13431,2024-10-08 05:16:00,320,0,7,5263
13430,2024-10-07 18:16:00,584,0,22,7383
13427,2024-10-07 07:16:00,416,1,16,6315
13426,2024-10-06 22:16:00,714,0,24,12156
13424,2024-10-06 12:16:00,315,0,9,5506
13422,2024-10-05 21:16:00,525,1,19,7232
13405,2024-10-05 11:16:00,595,0,9,7514
13402,2024-10-04 16:16:00,681,1,22,8943
13399,2024-10-04 06:16:00,388,0,13,6424
13395,2024-10-03 18:16:00,355,0,8,5345
13391,2024-10-03 08:16:00,398,0,8,6124
13386,2024-10-02 20:16:00,573,0,15,7423
13383,2024-10-02 09:16:00,474,3,12,6776
13381,2024-10-01 19:16:00,479,1,9,7136
13379,2024-10-01 10:16:00,399,0,5,6002
13377,2024-09-30 23:16:00,235,0,9,4697
